effective_from,label,nlw,age_18_to_20,age_16_to_17,apprentice,accommodation_offset_daily
2026-04-01,1 April 2026,12.71,10.85,8.00,8.00,11.10
2025-04-01,1 April 2025,12.21,10.00,7.55,7.55,10.66
2024-04-01,1 April 2024,11.44,8.60,6.40,6.40,9.99
2023-04-01,1 April 2023,10.42,7.49,5.28,5.28,9.10
2022-04-01,1 April 2022,9.50,6.83,4.81,4.81,8.70
2021-04-01,1 April 2021,8.91,6.56,4.62,4.30,8.36
2020-04-01,1 April 2020,8.72,6.45,4.55,4.15,8.20
2019-04-01,1 April 2019,8.21,6.15,4.35,3.90,7.55
2018-04-01,1 April 2018,7.83,5.90,4.20,3.70,7.00
2017-04-01,1 April 2017,7.50,5.60,4.05,3.50,6.40
2016-04-01,1 April 2016,7.20,5.30,3.87,3.30,5.35
2015-10-01,1 October 2015,0,5.30,3.87,3.30,5.35
1999-04-01,1 April 1999,0,3.00,0,0,0
